,Country,Date,Number
0,Netherlands,2020-01-30,0
1,Poland,2020-01-30,0
2,Sweden,2020-01-30,0
3,Switzerland,2020-01-30,0
4,United Kingdom,2020-01-30,0
5,Netherlands,2020-01-31,0
6,Poland,2020-01-31,0
7,Sweden,2020-01-31,0
8,Switzerland,2020-01-31,0
9,United Kingdom,2020-01-31,0
10,Netherlands,2020-02-01,0
11,Poland,2020-02-01,0
12,Sweden,2020-02-01,0
13,Switzerland,2020-02-01,0
14,United Kingdom,2020-02-01,0
15,Netherlands,2020-02-02,0
16,Poland,2020-02-02,0
17,Sweden,2020-02-02,0
18,Switzerland,2020-02-02,0
19,United Kingdom,2020-02-02,0
20,Netherlands,2020-02-03,0
21,Poland,2020-02-03,0
22,Sweden,2020-02-03,0
23,Switzerland,2020-02-03,0
24,United Kingdom,2020-02-03,0
25,Netherlands,2020-02-04,0
26,Poland,2020-02-04,0
27,Sweden,2020-02-04,0
28,Switzerland,2020-02-04,0
29,United Kingdom,2020-02-04,0
30,Netherlands,2020-02-05,0
31,Poland,2020-02-05,0
32,Sweden,2020-02-05,0
33,Switzerland,2020-02-05,0
34,United Kingdom,2020-02-05,0
35,Netherlands,2020-02-06,0
36,Poland,2020-02-06,0
37,Sweden,2020-02-06,0
38,Switzerland,2020-02-06,0
39,United Kingdom,2020-02-06,0
40,Netherlands,2020-02-07,0
41,Poland,2020-02-07,0
42,Sweden,2020-02-07,0
43,Switzerland,2020-02-07,0
44,United Kingdom,2020-02-07,0
45,Netherlands,2020-02-08,0
46,Poland,2020-02-08,0
47,Sweden,2020-02-08,0
48,Switzerland,2020-02-08,0
49,United Kingdom,2020-02-08,0
50,Netherlands,2020-02-09,0
51,Poland,2020-02-09,0
52,Sweden,2020-02-09,0
53,Switzerland,2020-02-09,0
54,United Kingdom,2020-02-09,0
55,Netherlands,2020-02-10,0
56,Poland,2020-02-10,0
57,Sweden,2020-02-10,0
58,Switzerland,2020-02-10,0
59,United Kingdom,2020-02-10,0
60,Netherlands,2020-02-11,0
61,Poland,2020-02-11,0
62,Sweden,2020-02-11,0
63,Switzerland,2020-02-11,0
64,United Kingdom,2020-02-11,0
65,Netherlands,2020-02-12,0
66,Poland,2020-02-12,0
67,Sweden,2020-02-12,0
68,Switzerland,2020-02-12,0
69,United Kingdom,2020-02-12,0
70,Netherlands,2020-02-13,0
71,Poland,2020-02-13,0
72,Sweden,2020-02-13,0
73,Switzerland,2020-02-13,0
74,United Kingdom,2020-02-13,0
75,Netherlands,2020-02-14,0
76,Poland,2020-02-14,0
77,Sweden,2020-02-14,0
78,Switzerland,2020-02-14,0
79,United Kingdom,2020-02-14,0
80,Netherlands,2020-02-15,0
81,Poland,2020-02-15,0
82,Sweden,2020-02-15,0
83,Switzerland,2020-02-15,0
84,United Kingdom,2020-02-15,0
85,Netherlands,2020-02-16,0
86,Poland,2020-02-16,0
87,Sweden,2020-02-16,0
88,Switzerland,2020-02-16,0
89,United Kingdom,2020-02-16,0
90,Netherlands,2020-02-17,0
